id,DCI,ATC,initiale_ATC,niveau_2,Name_Length,niveau_3,niveau_4,initiale_DCI,Longueur_ATC
1,Lepirudin,B01AE02,B,B01,9,B01A,B01AE,L,7
2,Bivalirudin,B01AE06,B,B01,11,B01A,B01AE,B,7
3,Leuprolide,L02AE51,L,L02,10,L02A,L02AE,L,7
4,Sermorelin,V04CD03,V,V04,10,V04C,V04CD,S,7
5,Urokinase,B01AD04,B,B01,9,B01A,B01AD,U,7
6,Goserelin,L02AE03,L,L02,9,L02A,L02AE,G,7
7,Erythropoietin,B03XA01,B,B03,14,B03X,B03XA,E,7
8,Salmon calcitonin,H05BA01,H,H05,17,H05B,H05BA,S,7
9,Pegfilgrastim,L03AA13,L,L03,13,L03A,L03AA,P,7
10,Thyrotropin alfa,H01AB01,H,H01,16,H01A,H01AB,T,7
11,Gramicidin D,R02AB30,R,R02,12,R02A,R02AB,G,7
12,Insulin human,A10AC01,A,A10,13,A10A,A10AC,I,7
13,Menotropins,G03GA02,G,G03,11,G03G,G03GA,M,7
14,Desmopressin,H01BA02,H,H01,12,H01B,H01BA,D,7
15,Glucagon,H04AA01,H,H04,8,H04A,H04AA,G,7
16,Insulin lispro,A10AC04,A,A10,14,A10A,A10AC,I,7
17,Insulin glargine,A10AE54,A,A10,16,A10A,A10AE,I,7
18,Cetrorelix,H01CC02,H,H01,10,H01C,H01CC,C,7
19,Eptifibatide,B01AC16,B,B01,12,B01A,B01AC,E,7
20,Insulin pork,A10AC03,A,A10,12,A10A,A10AC,I,7
21,Daptomycin,J01XX09,J,J01,10,J01X,J01XX,D,7
22,Capromab pendetide,V09IB04,V,V09,18,V09I,V09IB,C,7
23,Cyclosporine,L04AD01,L,L04,12,L04A,L04AD,C,7
24,Urofollitropin,G03GA04,G,G03,14,G03G,G03GA,U,7
25,Agalsidase beta,A16AB03,A,A16,15,A16A,A16AB,A,7
26,Octreotide,H01CB02,H,H01,10,H01C,H01CB,O,7
27,Interferon alfa-2b,L03AB05,L,L03,18,L03A,L03AB,I,7
28,Abarelix,L02BX01,L,L02,8,L02B,L02BX,A,7
29,Oxytocin,G02AC01,G,G02,8,G02A,G02AC,O,7
30,Enfuvirtide,J05AX07,J,J05,11,J05A,J05AX,E,7
31,Technetium Tc-99m arcitumomab,V09IA06,V,V09,29,V09I,V09IA,T,7
32,Pyridoxal phosphate,A11HA06,A,A11,19,A11H,A11HA,P,7
33,Cyanocobalamin,B03BA01,B,B03,14,B03B,B03BA,C,7
34,Ademetionine,A16AA02,A,A16,12,A16A,A16AA,A,7
35,Biotin,A11HA05,A,A11,6,A11H,A11HA,B,7
36,Lysine,B05XB03,B,B05,6,B05X,B05XB,L,7
37,Arginine,B05XB01,B,B05,8,B05X,B05XB,A,7
38,Ascorbic acid,G01AD03,G,G01,13,G01A,G01AD,A,7
39,Ornithine,A05BA06,A,A05,9,A05B,A05BA,O,7
40,L-Glutamine,A16AA03,A,A16,11,A16A,A16AA,L,7
41,Methionine,V03AB26,V,V03,10,V03A,V03AB,M,7
42,Calcitriol,D05AX03,D,D05,10,D05A,D05AX,C,7
43,Riboflavin,A11HA04,A,A11,10,A11H,A11HA,R,7
44,Glutamic acid,A09AB01,A,A09,13,A09A,A09AB,G,7
45,Glutathione,V03AB32,V,V03,11,V03A,V03AB,G,7
46,Glycine,B05CX03,B,B05,7,B05C,B05CX,G,7
47,Calcifediol,A11CC06,A,A11,11,A11C,A11CC,C,7
48,Tryptophan,N06AX02,N,N06,10,N06A,N06AX,T,7
49,Thiamine,A11DA01,A,A11,8,A11D,A11DA,T,7
50,Ergocalciferol,A11CC01,A,A11,14,A11C,A11CC,E,7
51,Folic acid,B03AE02,B,B03,10,B03A,B03AE,F,7
52,Vitamin A,V04CB01,V,V04,9,V04C,V04CB,V,7
53,Pyridoxine,J04AM08,J,J04,10,J04A,J04AM,P,7
54,Lipoic acid,A16AX01,A,A16,11,A16A,A16AX,L,7
55,Cholecalciferol,M05BB09,M,M05,15,M05B,M05BB,C,7
56,Menadione,B02BA02,B,B02,9,B02B,B02BA,M,7
57,Pravastatin,C10AA03,C,C10,11,C10A,C10AA,P,7
58,Fluvoxamine,N06AB08,N,N06,11,N06A,N06AB,F,7
59,Valsartan,C09DX05,C,C09,9,C09D,C09DX,V,7
60,Ramipril,C09BX03,C,C09,8,C09B,C09BX,R,7
61,Masoprocol,L01XX10,L,L01,10,L01X,L01XX,M,7
62,Flunisolide,R01AD04,R,R01,11,R01A,R01AD,F,7
63,Baclofen,M03BX01,M,M03,8,M03B,M03BX,B,7
64,Amphetamine,N06BA01,N,N06,11,N06B,N06BA,A,7
65,Pentagastrin,V04CG04,V,V04,12,V04C,V04CG,P,7
66,Nicotine,N07BA01,N,N07,8,N07B,N07BA,N,7
67,Cevimeline,N07AX03,N,N07,10,N07A,N07AX,C,7
68,Lorazepam,N05BA56,N,N05,9,N05B,N05BA,L,7
69,Esmolol,C07AB09,C,C07,7,C07A,C07AB,E,7
70,Bortezomib,L01XX32,L,L01,10,L01X,L01XX,B,7
71,Ethchlorvynol,N05CM08,N,N05,13,N05C,N05CM,E,7
72,Phentermine,A08AA01,A,A08,11,A08A,A08AA,P,7
